,season,holiday,workingday,casual,registered,count,date,hour,weekday,month
0,Spring,0,0,3,13,16,2011/1/1,0,Saturday,January
1,Spring,0,0,8,32,40,2011/1/1,1,Saturday,January
2,Spring,0,0,5,27,32,2011/1/1,2,Saturday,January
3,Spring,0,0,3,10,13,2011/1/1,3,Saturday,January
4,Spring,0,0,0,1,1,2011/1/1,4,Saturday,January
5,Spring,0,0,0,1,1,2011/1/1,5,Saturday,January
6,Spring,0,0,2,0,2,2011/1/1,6,Saturday,January
7,Spring,0,0,1,2,3,2011/1/1,7,Saturday,January
8,Spring,0,0,1,7,8,2011/1/1,8,Saturday,January
9,Spring,0,0,8,6,14,2011/1/1,9,Saturday,January
10,Spring,0,0,12,24,36,2011/1/1,10,Saturday,January
11,Spring,0,0,26,30,56,2011/1/1,11,Saturday,January
12,Spring,0,0,29,55,84,2011/1/1,12,Saturday,January
13,Spring,0,0,47,47,94,2011/1/1,13,Saturday,January
14,Spring,0,0,35,71,106,2011/1/1,14,Saturday,January
15,Spring,0,0,40,70,110,2011/1/1,15,Saturday,January
16,Spring,0,0,41,52,93,2011/1/1,16,Saturday,January
17,Spring,0,0,15,52,67,2011/1/1,17,Saturday,January
18,Spring,0,0,9,26,35,2011/1/1,18,Saturday,January
19,Spring,0,0,6,31,37,2011/1/1,19,Saturday,January
20,Spring,0,0,11,25,36,2011/1/1,20,Saturday,January
21,Spring,0,0,3,31,34,2011/1/1,21,Saturday,January
22,Spring,0,0,11,17,28,2011/1/1,22,Saturday,January
23,Spring,0,0,15,24,39,2011/1/1,23,Saturday,January
24,Spring,0,0,4,13,17,2011/1/2,0,Sunday,January
25,Spring,0,0,1,16,17,2011/1/2,1,Sunday,January
26,Spring,0,0,1,8,9,2011/1/2,2,Sunday,January
27,Spring,0,0,2,4,6,2011/1/2,3,Sunday,January
28,Spring,0,0,2,1,3,2011/1/2,4,Sunday,January
29,Spring,0,0,0,2,2,2011/1/2,6,Sunday,January
30,Spring,0,0,0,1,1,2011/1/2,7,Sunday,January
31,Spring,0,0,0,8,8,2011/1/2,8,Sunday,January
32,Spring,0,0,1,19,20,2011/1/2,9,Sunday,January
33,Spring,0,0,7,46,53,2011/1/2,10,Sunday,January
34,Spring,0,0,16,54,70,2011/1/2,11,Sunday,January
35,Spring,0,0,20,73,93,2011/1/2,12,Sunday,January
36,Spring,0,0,11,64,75,2011/1/2,13,Sunday,January
37,Spring,0,0,4,55,59,2011/1/2,14,Sunday,January
38,Spring,0,0,19,55,74,2011/1/2,15,Sunday,January
39,Spring,0,0,9,67,76,2011/1/2,16,Sunday,January
40,Spring,0,0,7,58,65,2011/1/2,17,Sunday,January
41,Spring,0,0,10,43,53,2011/1/2,18,Sunday,January
42,Spring,0,0,1,29,30,2011/1/2,19,Sunday,January
43,Spring,0,0,5,17,22,2011/1/2,20,Sunday,January
44,Spring,0,0,11,20,31,2011/1/2,21,Sunday,January
45,Spring,0,0,0,9,9,2011/1/2,22,Sunday,January
46,Spring,0,0,0,8,8,2011/1/2,23,Sunday,January
47,Spring,0,1,0,5,5,2011/1/3,0,Monday,January
48,Spring,0,1,0,2,2,2011/1/3,1,Monday,January
49,Spring,0,1,0,1,1,2011/1/3,4,Monday,January
50,Spring,0,1,0,3,3,2011/1/3,5,Monday,January
51,Spring,0,1,0,30,30,2011/1/3,6,Monday,January
52,Spring,0,1,1,63,64,2011/1/3,7,Monday,January
53,Spring,0,1,1,153,154,2011/1/3,8,Monday,January
54,Spring,0,1,7,81,88,2011/1/3,9,Monday,January
55,Spring,0,1,11,33,44,2011/1/3,10,Monday,January
56,Spring,0,1,10,41,51,2011/1/3,11,Monday,January
57,Spring,0,1,13,48,61,2011/1/3,12,Monday,January
58,Spring,0,1,8,53,61,2011/1/3,13,Monday,January
59,Spring,0,1,11,66,77,2011/1/3,14,Monday,January
60,Spring,0,1,14,58,72,2011/1/3,15,Monday,January
61,Spring,0,1,9,67,76,2011/1/3,16,Monday,January
62,Spring,0,1,11,146,157,2011/1/3,17,Monday,January
63,Spring,0,1,9,148,157,2011/1/3,18,Monday,January
64,Spring,0,1,8,102,110,2011/1/3,19,Monday,January
65,Spring,0,1,3,49,52,2011/1/3,20,Monday,January
66,Spring,0,1,3,49,52,2011/1/3,21,Monday,January
67,Spring,0,1,0,20,20,2011/1/3,22,Monday,January
68,Spring,0,1,1,11,12,2011/1/3,23,Monday,January
69,Spring,0,1,0,5,5,2011/1/4,0,Tuesday,January
70,Spring,0,1,0,2,2,2011/1/4,1,Tuesday,January
71,Spring,0,1,0,1,1,2011/1/4,2,Tuesday,January
72,Spring,0,1,0,2,2,2011/1/4,4,Tuesday,January
73,Spring,0,1,0,4,4,2011/1/4,5,Tuesday,January
74,Spring,0,1,0,36,36,2011/1/4,6,Tuesday,January
75,Spring,0,1,2,92,94,2011/1/4,7,Tuesday,January
76,Spring,0,1,2,177,179,2011/1/4,8,Tuesday,January
77,Spring,0,1,2,98,100,2011/1/4,9,Tuesday,January
78,Spring,0,1,5,37,42,2011/1/4,10,Tuesday,January
79,Spring,0,1,7,50,57,2011/1/4,11,Tuesday,January
80,Spring,0,1,12,66,78,2011/1/4,12,Tuesday,January
81,Spring,0,1,18,79,97,2011/1/4,13,Tuesday,January
82,Spring,0,1,9,54,63,2011/1/4,14,Tuesday,January
83,Spring,0,1,17,48,65,2011/1/4,15,Tuesday,January
84,Spring,0,1,15,68,83,2011/1/4,16,Tuesday,January
85,Spring,0,1,10,202,212,2011/1/4,17,Tuesday,January
86,Spring,0,1,3,179,182,2011/1/4,18,Tuesday,January
87,Spring,0,1,2,110,112,2011/1/4,19,Tuesday,January
88,Spring,0,1,1,53,54,2011/1/4,20,Tuesday,January
89,Spring,0,1,0,48,48,2011/1/4,21,Tuesday,January
90,Spring,0,1,1,34,35,2011/1/4,22,Tuesday,January
91,Spring,0,1,2,9,11,2011/1/4,23,Tuesday,January
92,Spring,0,1,0,6,6,2011/1/5,0,Wednesday,January
